,Time,Topics,pos/neu/neg
424,2021-12-01 15:03:51+00:00,news,neutral
425,2021-12-01 15:03:45+00:00,news,neutral
426,2021-12-01 15:03:43+00:00,news,neutral
427,2021-12-01 15:03:36+00:00,news,neutral
428,2021-12-01 15:03:09+00:00,news,neutral
429,2021-12-01 15:03:05+00:00,vaccine effects,negative
430,2021-12-01 15:02:48+00:00,anti vaccine,neutral
431,2021-12-01 15:02:32+00:00,pro vax,neutral
432,2021-12-01 15:02:12+00:00,pro vax,neutral
434,2021-12-01 15:02:00+00:00,pro vax,negative
435,2021-12-01 15:01:50+00:00,news,neutral
437,2021-12-01 15:01:12+00:00,pro vax,positive
438,2021-12-01 15:01:10+00:00,vaccine effects,negative
439,2021-12-01 15:01:00+00:00,pro vax,positive
